name,length,hip_mean,hip_std,hip_range,hip_max_change,valid,reason
L_10_1,34,1273.6220588235294,72.51350562965786,250.17999999999984,17.689999999999827,False,Hip too unstable: std=72.5
L_10_2,33,1277.1518181818183,70.66778128571556,244.27999999999997,17.689999999999827,False,Hip too unstable: std=70.7
L_10_3,32,1280.7178125,68.77759358679135,238.3599999999999,17.689999999999827,False,Hip too unstable: std=68.8
L_11_1,32,1280.7178125,68.77759358679135,238.3599999999999,17.689999999999827,False,Hip too unstable: std=68.8
L_11_2,33,1277.1518181818183,70.66778128571556,244.27999999999997,17.689999999999827,False,Hip too unstable: std=70.7
L_12_1,32,1280.7178125,68.77759358679135,238.3599999999999,17.689999999999827,False,Hip too unstable: std=68.8
L_12_2,33,1277.1518181818183,70.66778128571556,244.27999999999997,17.689999999999827,False,Hip too unstable: std=70.7
L_12_3,32,1280.7178125,68.77759358679135,238.3599999999999,17.689999999999827,False,Hip too unstable: std=68.8
L_13_1,34,1273.6220588235294,72.51350562965786,250.17999999999984,17.689999999999827,False,Hip too unstable: std=72.5
L_13_2,34,1273.6220588235294,72.51350562965786,250.17999999999984,17.689999999999827,False,Hip too unstable: std=72.5
L_14_1,34,1273.6220588235294,72.51350562965786,250.17999999999984,17.689999999999827,False,Hip too unstable: std=72.5
L_14_2,33,1277.1518181818183,70.66778128571556,244.27999999999997,17.689999999999827,False,Hip too unstable: std=70.7
L_14_3,33,1277.1518181818183,70.66778128571556,244.27999999999997,17.689999999999827,False,Hip too unstable: std=70.7
L_15_1,33,1277.1518181818183,70.66778128571556,244.27999999999997,17.689999999999827,False,Hip too unstable: std=70.7
L_15_2,33,1277.1518181818183,70.66778128571556,244.27999999999997,17.689999999999827,False,Hip too unstable: std=70.7
L_15_3,33,1277.1518181818183,70.66778128571556,244.27999999999997,17.689999999999827,False,Hip too unstable: std=70.7
L_16_1,33,1277.1518181818183,70.66778128571556,244.27999999999997,17.689999999999827,False,Hip too unstable: std=70.7
L_16_2,33,1277.1518181818183,70.66778128571556,244.27999999999997,17.689999999999827,False,Hip too unstable: std=70.7
L_16_3,32,1280.7178125,68.77759358679135,238.3599999999999,17.689999999999827,False,Hip too unstable: std=68.8
L_17_1,33,1277.1518181818183,70.66778128571556,244.27999999999997,17.689999999999827,False,Hip too unstable: std=70.7
L_17_2,32,1280.7178125,68.77759358679135,238.3599999999999,17.689999999999827,False,Hip too unstable: std=68.8
L_17_3,34,1273.6220588235294,72.51350562965786,250.17999999999984,17.689999999999827,False,Hip too unstable: std=72.5
L_18_1,34,1273.6220588235294,72.51350562965786,250.17999999999984,17.689999999999827,False,Hip too unstable: std=72.5
L_18_2,33,1277.1518181818183,70.66778128571556,244.27999999999997,17.689999999999827,False,Hip too unstable: std=70.7
L_18_3,30,1287.7753333333333,65.16486935628907,223.57999999999993,17.689999999999827,False,Hip too unstable: std=65.2
L_19_1,32,1280.7178125,68.77759358679135,238.3599999999999,17.689999999999827,False,Hip too unstable: std=68.8
L_19_2,33,1277.1518181818183,70.66778128571556,244.27999999999997,17.689999999999827,False,Hip too unstable: std=70.7
L_1_1,31,1284.3229032258064,66.83603684094037,226.56999999999994,17.689999999999827,False,Hip too unstable: std=66.8
L_1_2,32,1280.7178125,68.77759358679135,238.3599999999999,17.689999999999827,False,Hip too unstable: std=68.8
L_20_1,33,1277.1518181818183,70.66778128571556,244.27999999999997,17.689999999999827,False,Hip too unstable: std=70.7
L_20_2,33,1277.1518181818183,70.66778128571556,244.27999999999997,17.689999999999827,False,Hip too unstable: std=70.7
L_20_3,34,1273.6220588235294,72.51350562965786,250.17999999999984,17.689999999999827,False,Hip too unstable: std=72.5
L_21_1,34,1273.6220588235294,72.51350562965786,250.17999999999984,17.689999999999827,False,Hip too unstable: std=72.5
L_21_2,33,1277.1518181818183,70.66778128571556,244.27999999999997,17.689999999999827,False,Hip too unstable: std=70.7
